Date,Open,High,Low,Close,Adj Close,Volume
20170406,234.940002,236.039993,234.429993,235.440002,222.094757,69135800
20170407,235.149994,236,234.639999,235.199997,221.868301,74412300
20170410,235.360001,236.259995,234.729996,235.339996,222.000397,67615300
20170411,234.899994,235.179993,233.339996,235.059998,221.736267,88045300
20170412,234.740005,234.960007,233.770004,234.029999,220.764664,81864400
20170413,233.639999,234.490005,232.509995,232.509995,219.330795,92880400
20170417,233.110001,234.570007,232.880005,234.570007,221.274033,68405400
20170418,233.720001,234.490005,233.080002,233.869995,220.613693,83225800
20170419,234.520004,234.949997,233.179993,233.440002,220.208084,68699900
20170420,234.149994,235.850006,233.779999,235.339996,222.000397,92572200
20170421,235.25,235.309998,234.130005,234.589996,221.292892,110389800
20170424,237.179993,237.410004,234.559998,237.169998,223.726654,119209900
20170425,237.910004,238.949997,237.809998,238.550003,225.028427,76698300
20170426,238.509995,239.529999,238.350006,238.399994,224.886948,84702500
20170427,238.770004,238.949997,237.979996,238.600006,225.075592,57410300
20170428,238.899994,238.929993,237.929993,238.080002,224.585098,63532800
20170501,238.679993,239.169998,238.199997,238.679993,225.151047,66882500
20170502,238.839996,238.979996,238.300003,238.770004,225.235947,57375700
20170503,238.770004,238.880005,237.699997,238.479996,224.962402,73137700
20170504,238.830002,238.919998,237.779999,238.759995,225.226547,61462700
20170505,239.190002,239.720001,238.679993,239.699997,226.113251,62001300
20170508,239.75,239.919998,239.169998,239.660004,226.075531,48385700
20170509,239.960007,240.190002,239.039993,239.440002,225.867981,51363200
20170510,239.389999,239.869995,239.149994,239.869995,226.273605,54293800
20170511,239.350006,239.570007,238.130005,239.380005,225.811401,62358300
20170512,239.089996,239.429993,238.669998,238.979996,225.434036,53912700
20170515,239.470001,240.440002,239.449997,240.300003,226.679245,61918900
20170516,240.639999,240.669998,239.630005,240.080002,226.471695,51241800
20170517,240.080002,240.080002,235.75,235.820007,222.453186,172174100
20170518,235.729996,237.75,235.429993,236.770004,223.34935,107047700
20170519,237.330002,239.080002,237.270004,238.309998,224.802032,115011400
20170522,238.899994,239.710007,238.820007,239.520004,225.943451,61010600
20170523,239.949997,240.240005,239.509995,240.050003,226.44342,48341700
20170524,240.320007,240.729996,239.929993,240.610001,226.97168,46927700
20170525,241.199997,242.080002,240.960007,241.759995,228.056458,64071700
20170526,241.539993,241.899994,241.449997,241.710007,228.009308,46629900
