datetime,open,high,low,close,volume,adj close
2000-10-11,137.625,138.625,135.125,136.53125,10346000,94.00077056884766
2000-10-12,137.28125,137.59375,132.78125,133.125,12336900,91.65557861328125
2000-10-13,132.9375,137.65625,132.875,137.5625,11778800,94.71078491210938
2000-10-16,137.40625,138.234375,136.6875,138.1875,5659000,95.14106750488281
2000-10-17,138.4375,138.5625,134.40625,134.75,7831700,92.77436828613281
2000-10-18,132.625,136.125,130.15625,134.25,10897300,92.43011474609375
2000-10-19,136.84375,139.453125,136.4375,139.3125,8767300,95.91558074951172
2000-10-20,138.375,141.1875,138.375,139.90625,7373500,96.3244400024414
2000-10-23,139.9375,141.03125,138.9375,140.53125,5290000,96.7547378540039
2000-10-24,140.96875,141.9375,139.0,139.59375,5750700,96.10924530029297
2000-10-25,138.75,139.5625,136.125,136.3125,9137600,93.85016632080078
2000-10-26,137.125,137.65625,134.03125,136.6875,9345800,94.10833740234375
2000-10-27,137.875,139.28125,136.625,139.28125,9762900,95.89410400390625
2000-10-30,138.4375,141.09375,138.15625,140.53125,10154100,96.7547378540039
2000-10-31,141.015625,143.6875,140.0625,142.953125,7752400,98.42219543457031
2000-11-01,142.25,143.25,141.21875,142.46875,6753600,98.08868408203125
2000-11-02,143.15625,143.90625,142.515625,142.703125,11395100,98.25004577636719
2000-11-03,143.46875,143.75,142.375,142.78125,5187100,98.30381774902344
2000-11-06,143.15625,144.296875,143.03125,143.78125,4042500,98.9923324584961
2000-11-07,143.140625,144.0,142.5625,143.75,5231300,98.97083282470703
2000-11-08,144.0625,144.0625,140.5625,140.5625,6123300,96.77625274658203
2000-11-09,140.0,141.21875,137.25,140.03125,10635300,96.41050720214844
2000-11-10,139.0,139.46875,136.53125,136.625,8569500,94.06529235839844
2000-11-13,135.625,136.984375,133.015625,135.5625,17285300,93.33378601074219
2000-11-14,137.46875,139.625,137.0,139.125,7668900,95.78656768798828
2000-11-15,139.0625,140.109375,137.75,139.5625,8837700,96.08773040771484
2000-11-16,138.578125,139.875,137.3125,137.375,6684100,94.5816650390625
2000-11-17,137.3125,139.0,135.75,136.640625,6551100,94.07608795166016
2000-11-20,135.75,136.375,134.3125,134.6875,5458500,92.73136138916016
2000-11-21,134.875,136.1875,133.515625,135.375,7684300,93.20470428466797
2000-11-22,134.34375,134.875,132.125,132.140625,5736900,90.97785949707031
2000-11-24,133.625,134.96875,133.625,134.84375,3411600,92.83891296386719
2000-11-27,136.46875,136.6875,135.3125,136.03125,5992000,93.656494140625
2000-11-28,135.125,136.59375,133.640625,133.6875,5336100,92.0428695678711
2000-11-29,134.375,135.90625,133.265625,133.4375,6914100,91.87074279785156
2000-11-30,132.5,133.5,129.75,132.28125,11201600,91.07467651367188
2000-12-01,133.1875,134.0625,131.0,132.21875,7587200,91.0316390991211
2000-12-04,131.875,133.875,131.5,133.34375,6996600,91.80615234375
2000-12-05,134.875,138.25,134.40625,137.71875,8883400,94.8183364868164
2000-12-06,137.78125,138.34375,135.03125,135.515625,12888000,93.301513671875
2000-12-07,134.875,135.875,133.65625,133.65625,6529100,92.02131652832031
2000-12-08,137.0625,139.46875,133.875,133.96875,10276300,92.23651123046875
2000-12-11,137.375,139.5625,136.71875,138.625,6405600,95.44232177734375
2000-12-12,138.1875,138.8125,137.375,138.03125,5022900,95.03350067138672
2000-12-13,139.25,139.40625,136.03125,136.140625,6070500,93.7318344116211
2000-12-14,135.875,136.5,134.03125,134.40625,7678400,92.5377197265625
2000-12-15,133.125,133.125,130.5625,130.96875,9065300,90.44760131835938
2000-12-18,132.0625,133.46875,131.765625,132.71875,7235400,91.65615844726562
2000-12-19,132.46875,134.96875,130.015625,130.015625,9616600,89.78935241699219
2000-12-20,128.625,128.9375,126.09375,126.25,9994300,87.18881225585938
2000-12-21,126.0,128.859375,125.53125,127.125,14331500,87.79308319091797
2000-12-22,129.0,131.109375,128.84375,130.9375,10182900,90.426025390625
2000-12-26,130.84375,132.34375,130.28125,132.34375,4665300,91.39717102050781
2000-12-27,131.75,133.734375,131.25,133.3125,4854100,92.06622314453125
2000-12-28,132.8125,133.875,132.59375,133.71875,8358700,92.34674072265625
2000-12-29,134.0625,134.28125,131.1875,131.1875,8774600,90.59869384765625
2001-01-02,132.0,132.15625,127.5625,128.8125,8737500,88.95848083496094
2001-01-03,128.3125,136.0,127.65625,135.0,19431600,93.23161315917969
2001-01-04,134.9375,135.46875,133.0,133.546875,9219000,92.22807312011719
2001-01-05,133.46875,133.625,129.1875,129.1875,12911400,89.21747589111328
2001-01-08,129.875,130.1875,127.6875,130.1875,6625300,89.90805053710938
2001-01-09,131.046875,131.5,129.421875,129.84375,5702400,89.6706771850586
2001-01-10,129.0,132.125,128.8125,132.125,8746100,91.24609375
2001-01-11,131.09375,133.484375,131.09375,132.25,7245100,91.33243560791016
2001-01-12,132.6875,133.71875,131.28125,132.0,7244000,91.15977478027344
2001-01-16,132.0,133.1875,131.515625,132.84375,8542200,91.74246978759766
2001-01-17,134.84375,135.046875,132.640625,133.453125,7851400,92.16334533691406
2001-01-18,133.4375,135.703125,132.9375,134.78125,8107000,93.08051300048828
2001-01-19,136.1875,136.1875,133.875,134.015625,7782500,92.55178833007812
2001-01-22,134.25,135.78125,133.5625,134.90625,7050900,93.16685485839844
2001-01-23,134.46875,136.65625,134.15625,135.96875,8463100,93.900634765625
2001-01-24,136.25,137.3125,135.84375,136.375,6199900,94.18116760253906
2001-01-25,136.25,137.25,135.65625,136.03125,10818300,93.94378662109375
2001-01-26,135.15625,136.125,134.453125,135.875,7136800,93.83586883544922
2001-01-29,135.5,136.89999389648438,135.3699951171875,136.60000610351562,6705900,94.33659362792969
2001-01-30,136.3000030517578,137.9199981689453,135.7899932861328,137.8000030517578,7069100,95.1653060913086
2001-01-31,137.39999389648438,138.6999969482422,136.60000610351562,137.02000427246094,9706900,94.62657928466797
2001-02-01,137.10000610351562,137.9499969482422,136.25,137.92999267578125,8239100,95.25505828857422
2001-02-02,137.39999389648438,137.99000549316406,134.75,134.8000030517578,8276600,93.09349060058594
2001-02-05,134.8000030517578,135.94000244140625,134.75,135.7899932861328,4352900,93.77716827392578
2001-02-06,135.3000030517578,136.6999969482422,135.22000122070312,135.38999938964844,7106700,93.50093078613281
2001-02-07,134.72000122070312,135.39999389648438,133.67999267578125,134.69000244140625,5748700,93.01757049560547
2001-02-08,134.8000030517578,135.39999389648438,133.10000610351562,133.1199951171875,5943300,91.93325805664062
2001-02-09,133.35000610351562,133.35000610351562,131.25999450683594,131.83999633789062,9913000,91.04927062988281
2001-02-12,131.6999969482422,133.5,131.6999969482422,133.35000610351562,5804400,92.09207916259766
2001-02-13,133.6999969482422,134.1699981689453,132.0,132.25999450683594,6587600,91.33937072753906
2001-02-14,132.64999389648438,132.64999389648438,130.66000366210938,132.05999755859375,8400100,91.20122528076172
2001-02-15,132.83999633789062,133.52000427246094,131.99000549316406,133.33999633789062,5929800,92.08518981933594
2001-02-16,131.0,131.2899932861328,129.3000030517578,130.39999389648438,6434900,90.05481719970703
